#   ELECTRON+POSITRON  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
7.460000e+01 7.200000e+01 7.740000e+01 3.660000e-04 5.000000e-06 5.000000e-06 8.000000e-06 8.000000e-06 9.433981e-06 9.433981e-06
8.030000e+01 7.740000e+01 8.340000e+01 2.910000e-04 4.000000e-06 4.000000e-06 6.000000e-06 6.000000e-06 7.211103e-06 7.211103e-06
8.670000e+01 8.340000e+01 9.020000e+01 2.320000e-04 4.000000e-06 4.000000e-06 5.000000e-06 5.000000e-06 6.403124e-06 6.403124e-06
9.400000e+01 9.020000e+01 9.810000e+01 1.780000e-04 3.000000e-06 3.000000e-06 4.000000e-06 4.000000e-06 5.000000e-06 5.000000e-06
1.030000e+02 9.800000e+01 1.070000e+02 1.370000e-04 3.000000e-06 3.000000e-06 3.000000e-06 3.000000e-06 4.242641e-06 4.242641e-06
1.130000e+02 1.070000e+02 1.180000e+02 1.010000e-04 2.000000e-06 2.000000e-06 2.000000e-06 2.000000e-06 2.828427e-06 2.828427e-06
1.250000e+02 1.180000e+02 1.320000e+02 7.260000e-05 1.500000e-06 1.500000e-06 1.500000e-06 1.500000e-06 2.121320e-06 2.121320e-06
1.400000e+02 1.320000e+02 1.490000e+02 5.040000e-05 1.200000e-06 1.200000e-06 1.100000e-06 1.100000e-06 1.627882e-06 1.627882e-06
1.590000e+02 1.490000e+02 1.700000e+02 3.550000e-05 9.000000e-07 9.000000e-07 8.000000e-07 8.000000e-07 1.204159e-06 1.204159e-06
1.830000e+02 1.700000e+02 1.980000e+02 2.170000e-05 6.000000e-07 6.000000e-07 5.000000e-07 5.000000e-07 7.810250e-07 7.810250e-07
2.160000e+02 1.980000e+02 2.370000e+02 1.270000e-05 4.000000e-07 4.000000e-07 3.000000e-07 3.000000e-07 5.000000e-07 5.000000e-07
2.620000e+02 2.370000e+02 2.900000e+02 6.890000e-06 2.700000e-07 2.700000e-07 1.600000e-07 1.600000e-07 3.138471e-07 3.138471e-07
3.270000e+02 2.900000e+02 3.700000e+02 3.450000e-06 1.700000e-07 1.700000e-07 9.000000e-08 9.000000e-08 1.923538e-07 1.923538e-07
4.290000e+02 3.700000e+02 5.000000e+02 1.450000e-06 1.000000e-07 1.000000e-07 4.000000e-08 4.000000e-08 1.077033e-07 1.077033e-07
5.890000e+02 5.000000e+02 7.000000e+02 5.410000e-07 5.600000e-08 5.600000e-08 2.300000e-08 2.300000e-08 6.053924e-08 6.053924e-08
8.320000e+02 7.000000e+02 1.000000e+03 1.900000e-07 4.000000e-08 4.000000e-08 2.300000e-08 2.300000e-08 4.614109e-08 4.614109e-08
