x	y
937.465	0.526
937.465	0.525
937.465	0.524
940.327	0.524
941.559	0.521
944.433	0.521
944.433	0.520
947.440	0.519
950.333	0.518
950.333	0.517
953.234	0.517
953.234	0.516
956.144	0.515
959.063	0.515
961.990	0.514
964.927	0.513
967.873	0.512
967.873	0.510
970.827	0.510
972.887	0.509
975.985	0.509
978.964	0.508
981.953	0.507
984.951	0.506
987.957	0.505
993.194	0.504
999.267	0.504
1004.576	0.502
1010.839	0.501
1013.925	0.499
1017.020	0.498
1020.124	0.497
1023.239	0.496
1023.239	0.495
1029.631	0.494
1032.773	0.493
1035.927	0.492
1042.522	0.491
1042.522	0.490
1044.733	0.490
1046.759	0.489
1047.923	0.489
1051.122	0.488
1051.122	0.487
1054.331	0.486
1057.549	0.485
1057.549	0.484
1060.917	0.483
1060.917	0.482
1060.917	0.481
1060.917	0.479
1064.155	0.478
1067.404	0.477
1070.662	0.476
1073.931	0.476
1073.931	0.475
1076.209	0.475
1079.636	0.474
1082.932	0.473
1085.216	0.473
1085.216	0.472
1087.519	0.471
1093.153	0.470
1093.153	0.469
1095.473	0.468
1097.796	0.468
1101.279	0.467
1104.641	0.466
1104.641	0.465
1108.014	0.464
1114.935	0.463
1114.935	0.462
1121.752	0.462
1121.752	0.461
1124.132	0.461
1126.517	0.461
1129.956	0.461
1133.541	0.459
1135.945	0.458
1141.831	0.457
1151.538	0.453
1158.882	0.452
1162.421	0.452
1165.969	0.451
1173.238	0.450
1176.974	0.449
1180.567	0.448
1188.084	0.444
1191.866	0.444
1191.866	0.443
1195.661	0.442
1199.311	0.441
1199.311	0.440
1199.311	0.439
1206.946	0.436
1210.630	0.436
1210.630	0.435
1214.326	0.434
1218.033	0.433
1221.752	0.432
1225.641	0.430
1229.544	0.429
1233.299	0.429
1233.299	0.428
1240.987	0.428
1240.987	0.427
1251.539	0.424
1254.192	0.423
1258.186	0.421
1261.135	0.422
1262.192	0.421
1266.045	0.420
1268.732	0.420
1272.604	0.418
1288.859	0.412
1292.964	0.411
1292.964	0.411
1296.912	0.411
1299.662	0.409
1303.801	0.409
1306.551	0.409
1310.540	0.408
1314.540	0.407
1318.727	0.406
1318.727	0.405
1322.752	0.404
1328.371	0.403
1332.585	0.401
1336.652	0.401
1340.733	0.400
1344.825	0.399
1348.931	0.399
1348.931	0.398
1357.180	0.398
1360.058	0.397
1360.058	0.396
1364.211	0.396
1368.377	0.396
1368.377	0.394
1372.732	0.394
1381.126	0.394
1381.126	0.393
1389.754	0.390
1398.602	0.388
1398.602	0.388
1402.871	0.388
1410.140	0.387
1410.140	0.386
1414.629	0.386
1419.116	0.385
1423.449	0.385
1423.449	0.385
1427.794	0.385
1430.823	0.383
1430.823	0.382
1435.193	0.382
1442.139	0.382
1449.117	0.381
1453.540	0.379
1453.540	0.379
1453.540	0.378
1456.625	0.378
1456.625	0.377
1461.073	0.377
1461.073	0.376
1461.073	0.374
1465.706	0.374
1465.706	0.374
1470.180	0.373
1474.862	0.372
1479.364	0.372
1479.364	0.371
1483.880	0.371
1483.880	0.370
1488.604	0.370
1488.604	0.369
1488.604	0.368
1491.763	0.368
1496.318	0.367
1499.474	0.367
1499.474	0.366
1502.657	0.365
1507.242	0.365
1511.845	0.364
1519.875	0.364
1524.515	0.364
1524.515	0.363
1529.350	0.361
1534.221	0.361
1539.106	0.361
1539.106	0.360
1548.904	0.359
1548.904	0.358
1553.633	0.358
1558.579	0.357
1563.338	0.356
1566.656	0.356
1566.656	0.355
1571.437	0.353
1576.235	0.353
1576.235	0.353
1581.235	0.353
1586.061	0.352
1590.903	0.352
1590.903	0.351
1595.968	0.351
1595.968	0.349
1600.841	0.349
1600.841	0.348
1600.841	0.347
1605.938	0.347
1605.938	0.347
1610.841	0.346
1615.757	0.345
1619.186	0.344
1624.322	0.344
1629.495	0.344
1629.495	0.343
1632.951	0.343
1638.151	0.342
1638.151	0.342
1646.619	0.341
1651.645	0.340
1655.103	0.340
1656.904	0.340
1660.420	0.339
1663.942	0.339
1667.472	0.338
1667.472	0.337
1672.762	0.337
1678.089	0.335
1678.089	0.334
1683.431	0.334
1683.431	0.334
1688.571	0.333
1688.571	0.332
1693.725	0.332
1699.097	0.331
1699.097	0.331
1704.508	0.331
1715.380	0.328
1726.301	0.328
1729.963	0.328
1729.963	0.327
1735.245	0.326
1735.245	0.325
1740.541	0.325
1751.622	0.324
1751.622	0.323
1757.200	0.322
1757.200	0.322
1762.795	0.322
1768.177	0.321
1768.177	0.320
1771.907	0.320
1771.907	0.320
1777.317	0.320
1779.730	0.318
1785.162	0.316
1788.950	0.316
1794.412	0.316
1794.412	0.316
1799.803	0.316
1799.803	0.315
1803.622	0.315
1807.449	0.314
1807.449	0.313
1811.283	0.313
1811.283	0.312
1815.126	0.311
1820.668	0.311
1820.668	0.311
1826.443	0.311
1827.110	0.314
1832.018	0.311
1832.018	0.310
1837.612	0.310
1844.472	0.309
1844.472	0.307
1844.472	0.306
1844.472	0.306
1850.103	0.306
1850.103	0.305
1855.753	0.305
1855.753	0.305
1861.416	0.305
1861.416	0.304
1867.101	0.303
1867.101	0.303
1871.059	0.303
1871.059	0.302
1876.772	0.302
1880.753	0.301
1880.753	0.300
1884.743	0.300
1890.498	0.300
1896.268	0.299
1913.915	0.298
1917.976	0.298
1917.976	0.297
1923.832	0.296
1929.957	0.296
1936.103	0.296
1942.012	0.295
1947.942	0.295
1947.942	0.294
1953.887	0.293
1953.887	0.293
1960.085	0.292
1960.085	0.291
1966.327	0.291
1966.327	0.290
1972.329	0.290
1978.351	0.290
1990.946	0.287
1997.285	0.286
1997.285	0.286
2003.645	0.286
2003.645	0.285
2009.761	0.284
2009.761	0.284
2015.897	0.284
2015.897	0.283
2020.172	0.283
2020.172	0.283
2024.436	0.282
2030.881	0.282
2037.081	0.282
2037.081	0.282
2041.405	0.281
2045.734	0.281
2045.734	0.280
2051.979	0.280
2051.979	0.280
2055.785	0.280
2065.879	0.279
2065.879	0.276
2072.188	0.276
2078.511	0.275
2078.511	0.275
2082.921	0.275
2082.921	0.274
2087.339	0.274
2087.339	0.274
2093.712	0.273
2100.103	0.273
2100.103	0.272
2106.791	0.272
2106.791	0.271
2113.474	0.270
2119.926	0.270
2126.397	0.270
2132.889	0.269
2137.413	0.269
2141.948	0.268
2148.488	0.268
2153.045	0.267
2153.045	0.267
2157.614	0.267
2162.165	0.266
2162.165	0.266
2168.766	0.265
2168.766	0.264
2182.599	0.264
2182.599	0.263
2189.261	0.263
2196.233	0.262
2202.938	0.261
2202.938	0.260
2209.926	0.260
2216.671	0.260
2216.671	0.259
2223.439	0.259
2230.226	0.258
2237.035	0.258
2237.035	0.257
2241.780	0.257
2248.624	0.256
2248.624	0.255
2255.488	0.255
2262.374	0.255
2269.280	0.254
2276.506	0.253
2276.506	0.253
2288.300	0.252
2288.300	0.251
2293.131	0.251
2300.128	0.250
2307.151	0.249
2312.044	0.249
2319.103	0.249
2326.182	0.248
2333.284	0.247
2340.406	0.247
2340.406	0.246
2347.552	0.245
2352.533	0.245
2360.022	0.244
2367.228	0.243
2372.249	0.242
2379.774	0.242
2387.039	0.241
2394.643	0.240
2394.643	0.240
2399.720	0.239
2407.047	0.239
2412.152	0.238
2419.517	0.237
2426.902	0.237
2432.023	0.237
2437.182	0.237
2444.623	0.236
2452.084	0.235
2457.287	0.235
2464.790	0.235
2464.790	0.235
2472.637	0.234
2473.352	0.235
2480.186	0.234
2480.186	0.234
2480.186	0.233
2488.053	0.233
2495.975	0.233
2501.271	0.232
2506.578	0.232
2514.229	0.231
2514.229	0.230
2522.204	0.230
2527.556	0.229
2527.556	0.229
