x	y
421.465	3.085
422.751	3.085
424.042	3.085
425.336	3.080
428.503	3.080
430.718	3.080
432.090	3.073
433.409	3.073
434.732	3.068
437.447	3.068
438.783	3.061
441.466	3.061
442.813	3.056
443.753	3.056
445.108	3.050
447.408	3.050
447.408	3.043
450.203	3.043
451.577	3.035
453.015	3.035
454.398	3.028
455.362	3.028
456.323	3.028
456.323	3.024
457.291	3.017
458.747	3.017
460.208	3.012
463.022	3.005
464.141	3.019
464.435	2.998
465.853	2.991
467.275	2.991
468.261	2.985
468.261	2.980
469.691	2.980
471.124	2.980
471.124	2.973
474.129	2.973
475.639	2.973
476.643	2.967
480.191	2.960
481.715	2.960
483.185	2.960
484.660	2.953
486.140	2.953
486.140	2.946
487.624	2.946
489.176	2.939
493.276	2.935
501.168	2.928
501.168	2.923
502.764	2.923
502.764	2.917
504.298	2.917
505.368	2.917
506.971	2.910
509.598	2.905
509.598	2.899
511.154	2.899
512.714	2.894
512.714	2.888
514.280	2.888
515.849	2.888
516.944	2.881
518.522	2.881
518.522	2.874
520.105	2.870
521.208	2.870
522.799	2.870
523.909	2.865
525.508	2.865
525.508	2.861
527.175	2.861
529.906	2.854
529.906	2.848
531.030	2.842
532.651	2.842
533.392	2.850
534.277	2.835
535.909	2.835
537.544	2.829
539.185	2.829
540.330	2.829
540.330	2.822
541.979	2.822
543.129	2.816
544.852	2.810
546.586	2.803
548.255	2.797
550.001	2.797
551.680	2.790
553.364	2.790
555.053	2.790
556.814	2.784
557.995	2.778
559.772	2.778
561.481	2.778
561.481	2.772
563.195	2.765
566.113	2.761
567.841	2.761
567.841	2.755
569.574	2.748
571.313	2.748
573.057	2.742
574.807	2.736
574.807	2.730
576.561	2.730
577.778	2.730
577.778	2.724
579.542	2.724
581.311	2.724
581.311	2.719
583.085	2.719
584.865	2.719
584.865	2.713
586.651	2.713
588.442	2.713
590.238	2.707
592.040	2.701
593.847	2.701
595.107	2.695
595.107	2.689
596.924	2.689
598.746	2.689
598.746	2.683
600.574	2.677
601.848	2.677
601.848	2.671
603.764	2.671
605.607	2.665
607.456	2.665
609.383	2.659
609.947	2.644
611.243	2.653
611.243	2.647
613.109	2.647
614.981	2.641
616.939	2.635
618.823	2.635
618.823	2.629
620.793	2.629
622.688	2.629
622.688	2.625
624.671	2.625
626.578	2.619
628.491	2.619
628.491	2.615
630.409	2.615
630.409	2.609
631.739	2.609
633.668	2.603
633.668	2.599
635.602	2.593
637.543	2.593
637.543	2.587
639.489	2.581
639.489	2.576
641.441	2.576
641.441	2.570
643.399	2.570
643.399	2.564
645.363	2.564
647.333	2.558
649.309	2.558
649.309	2.553
651.292	2.547
653.280	2.547
653.280	2.541
654.666	2.541
656.664	2.536
658.669	2.530
660.680	2.530
660.680	2.524
662.696	2.519
664.719	2.513
666.749	2.513
668.163	2.509
668.163	2.503
670.203	2.503
670.203	2.498
672.249	2.498
672.249	2.492
672.249	2.487
673.675	2.487
673.675	2.481
673.675	2.475
675.732	2.475
677.795	2.475
677.795	2.472
678.098	2.484
679.233	2.472
681.306	2.466
683.386	2.466
683.386	2.461
684.828	2.461
687.008	2.449
689.105	2.449
691.300	2.444
695.618	2.444
697.742	2.444
697.742	2.438
699.872	2.438
702.008	2.433
702.008	2.427
704.151	2.427
704.151	2.421
706.301	2.421
706.301	2.416
706.301	2.411
708.457	2.411
712.789	2.407
712.789	2.401
714.965	2.401
717.147	2.396
717.147	2.391
720.185	2.378
724.356	2.369
726.567	2.369
726.567	2.364
726.567	2.358
728.785	2.358
731.010	2.353
731.010	2.348
733.242	2.348
733.242	2.343
734.797	2.343
734.797	2.337
737.041	2.332
739.291	2.332
739.291	2.327
741.547	2.322
743.120	2.322
743.120	2.318
745.389	2.318
745.389	2.313
747.664	2.313
749.947	2.308
749.947	2.302
752.236	2.302
752.236	2.297
754.533	2.292
756.134	2.292
756.134	2.287
758.442	2.282
760.042	2.282
760.042	2.277
761.655	2.277
761.655	2.272
763.980	2.272
763.980	2.267
765.600	2.267
767.938	2.261
770.282	2.261
770.282	2.256
771.053	2.271
771.916	2.253
774.273	2.248
774.273	2.244
776.636	2.239
776.636	2.236
778.284	2.231
779.926	2.226
779.926	2.222
782.307	2.222
783.967	2.219
785.630	2.215
785.630	2.212
788.028	2.212
788.028	2.207
790.434	2.207
790.434	2.202
792.951	2.202
792.951	2.197
797.154	2.192
799.587	2.182
799.587	2.177
804.582	2.172
807.038	2.162
808.750	2.159
810.466	2.159
810.466	2.154
812.176	2.154
814.762	2.149
814.762	2.144
817.249	2.144
819.851	2.136
824.963	2.131
827.481	2.131
827.481	2.126
827.481	2.122
830.008	2.122
832.650	2.113
833.374	2.117
835.302	2.113
835.302	2.108
835.302	2.104
840.519	2.100
843.085	2.097
843.085	2.094
844.864	2.089
847.443	2.089
847.443	2.084
847.443	2.081
850.030	2.081
850.030	2.078
855.340	2.075
858.063	2.070
858.063	2.065
859.884	2.062
862.509	2.054
864.328	2.050
864.328	2.045
867.080	2.040
869.841	2.040
869.841	2.036
872.611	2.036
874.452	2.028
876.307	2.025
876.307	2.020
878.982	2.020
878.982	2.017
880.847	2.017
880.847	2.014
883.536	2.014
885.411	2.006
888.114	2.006
888.114	1.999
892.715	1.996
895.547	1.991
897.447	1.988
897.447	1.983
900.186	1.983
902.934	1.979
902.934	1.974
905.691	1.974
906.355	1.990
908.574	1.965
911.457	1.958
914.239	1.958
914.239	1.955
920.070	1.951
923.000	1.938
925.928	1.938
925.928	1.935
928.755	1.935
930.725	1.927
933.566	1.924
933.566	1.920
936.416	1.920
936.416	1.917
939.275	1.913
942.266	1.909
945.142	1.904
948.027	1.900
948.027	1.897
950.039	1.894
952.939	1.890
954.949	1.887
954.949	1.883
956.975	1.883
960.022	1.874
960.022	1.870
962.953	1.866
964.996	1.866
968.057	1.861
968.057	1.857
971.013	1.853
973.977	1.853
973.977	1.849
973.977	1.845
977.078	1.845
977.078	1.842
979.151	1.842
979.151	1.839
982.140	1.835
982.140	1.831
983.790	1.827
985.138	1.831
987.228	1.828
987.228	1.824
990.242	1.824
990.242	1.820
990.242	1.815
993.265	1.811
995.373	1.811
995.373	1.806
998.411	1.802
1001.578	1.802
1001.578	1.797
1004.767	1.797
1004.767	1.795
1007.835	1.795
1007.835	1.790
1007.835	1.786
1011.044	1.786
1011.044	1.784
1014.251	1.784
1014.251	1.780
1014.251	1.776
1016.402	1.776
1016.402	1.772
1019.506	1.768
1019.506	1.764
1022.617	1.764
1022.617	1.761
1025.874	1.758
1029.005	1.758
1029.005	1.754
1029.005	1.751
1032.147	1.751
1035.299	1.748
1035.299	1.744
1037.494	1.740
1040.662	1.740
1040.662	1.736
1043.838	1.732
1043.838	1.728
1046.053	1.728
1046.053	1.724
1049.371	1.720
1052.713	1.716
1054.946	1.716
1054.946	1.712
1054.946	1.708
1058.167	1.708
1058.167	1.705
1060.412	1.705
1060.412	1.701
1062.649	1.698
1065.892	1.698
1065.892	1.694
1068.154	1.692
1072.283	1.686
1075.556	1.680
1078.839	1.676
1082.262	1.676
1082.262	1.672
1085.565	1.672
1085.565	1.669
1085.565	1.665
1088.309	1.675
1088.879	1.665
1088.879	1.662
1092.348	1.662
1092.348	1.659
1095.681	1.655
1095.681	1.652
1095.681	1.650
1099.027	1.646
1102.381	1.642
1102.381	1.639
1102.381	1.635
1104.720	1.635
1104.720	1.631
1111.475	1.624
1114.868	1.624
1114.868	1.621
1118.271	1.621
1118.271	1.618
1118.271	1.614
1121.685	1.614
1121.685	1.610
1124.065	1.607
1127.497	1.603
1127.497	1.600
1134.674	1.592
1138.139	1.589
1138.139	1.585
1141.762	1.583
1142.701	1.583
1145.384	1.583
1145.384	1.579
1148.881	1.579
1148.881	1.577
1152.387	1.573
1152.387	1.569
1154.833	1.569
1154.833	1.566
1158.359	1.562
1158.359	1.559
1161.894	1.559
1161.894	1.556
1161.894	1.553
1165.442	1.549
1169.152	1.546
1172.722	1.542
1172.722	1.539
1176.301	1.539
1176.301	1.535
1183.790	1.525
1190.079	1.519
1193.869	1.519
1197.513	1.516
1197.513	1.513
1197.513	1.510
1200.040	1.510
1203.703	1.504
1207.378	1.504
1207.378	1.500
1209.939	1.500
1209.939	1.497
1213.633	1.494
1213.633	1.490
1217.337	1.490
1217.337	1.487
1217.337	1.484
1221.101	1.472
1221.214	1.484
1224.941	1.484
1224.941	1.480
1236.666	1.473
1248.501	1.466
1252.312	1.463
1252.312	1.460
1252.312	1.456
1256.300	1.449
1260.302	1.442
1260.302	1.439
1260.302	1.436
1260.302	1.433
1260.302	1.429
1262.959	1.429
1262.959	1.426
1262.959	1.424
1262.959	1.421
1266.814	1.421
1270.848	1.414
1274.727	1.414
1274.727	1.411
1278.786	1.411
1282.690	1.408
1282.690	1.404
1286.606	1.404
1286.606	1.401
1290.533	1.398
1294.473	1.395
1298.427	1.395
1298.427	1.392
1301.179	1.390
1305.307	1.388
1305.307	1.384
1308.781	1.380
1313.289	1.384
1313.289	1.381
1313.289	1.378
1313.289	1.375
1317.471	1.372
1321.492	1.369
1325.527	1.369
1325.527	1.366
1328.339	1.366
1328.339	1.362
1332.394	1.356
1336.462	1.353
1340.541	1.350
1344.634	1.347
1344.634	1.344
1344.634	1.341
1348.738	1.339
1352.856	1.339
1352.856	1.336
1357.163	1.336
1357.163	1.334
1361.307	1.331
1361.307	1.328
1365.462	1.328
1365.462	1.325
1365.462	1.322
1369.631	1.322
1369.631	1.320
1369.631	1.317
1373.811	1.317
1373.811	1.315
1378.006	1.312
1378.006	1.309
1382.377	1.307
1386.599	1.307
1386.599	1.304
1386.599	1.301
1389.538	1.298
1393.781	1.295
1393.781	1.292
1396.715	1.288
1398.035	1.292
1398.035	1.289
1401.001	1.286
1401.001	1.283
1405.464	1.283
1409.753	1.281
1409.753	1.278
1414.057	1.278
1414.057	1.275
1418.542	1.275
1418.542	1.272
1418.542	1.269
1422.872	1.269
1427.012	1.258
1427.199	1.264
1427.199	1.253
1431.369	1.255
1431.556	1.250
1434.405	1.255
1435.926	1.250
1438.973	1.252
1438.973	1.249
1442.008	1.249
1442.008	1.247
1445.068	1.247
1445.068	1.245
1445.068	1.242
