x	y
1.665e5	0.079
1.665e5	0.079
1.670e5	0.079
1.687e5	0.078
1.687e5	0.078
1.692e5	0.078
1.692e5	0.077
1.701e5	0.077
1.701e5	0.077
1.717e5	0.076
1.717e5	0.076
1.722e5	0.076
1.728e5	0.076
1.733e5	0.075
1.733e5	0.075
1.736e5	0.075
1.742e5	0.075
1.742e5	0.075
1.752e5	0.074
1.763e5	0.074
1.769e5	0.073
1.774e5	0.073
1.774e5	0.073
1.785e5	0.073
1.785e5	0.072
1.791e5	0.072
1.791e5	0.072
1.796e5	0.072
1.802e5	0.072
1.806e5	0.072
1.811e5	0.071
1.811e5	0.071
1.822e5	0.071
1.828e5	0.071
1.828e5	0.070
1.832e5	0.070
1.838e5	0.070
1.844e5	0.070
1.849e5	0.070
1.853e5	0.069
1.859e5	0.069
1.859e5	0.069
1.869e5	0.068
1.875e5	0.068
1.880e5	0.068
1.896e5	0.067
1.898e5	0.067
1.898e5	0.067
1.898e5	0.067
1.902e5	0.067
1.908e5	0.066
1.924e5	0.066
1.930e5	0.066
1.934e5	0.066
1.940e5	0.065
1.940e5	0.065
1.944e5	0.065
1.950e5	0.065
1.956e5	0.064
1.966e5	0.064
1.966e5	0.064
1.971e5	0.064
1.977e5	0.064
1.983e5	0.064
1.992e5	0.063
1.992e5	0.063
1.992e5	0.063
1.999e5	0.063
2.005e5	0.063
2.005e5	0.062
2.011e5	0.062
2.017e5	0.062
2.021e5	0.062
2.021e5	0.062
2.036e5	0.061
2.036e5	0.061
2.040e5	0.061
2.040e5	0.061
2.042e5	0.061
2.046e5	0.061
2.052e5	0.060
2.053e5	0.060
2.059e5	0.060
2.059e5	0.060
2.066e5	0.060
2.070e5	0.060
2.070e5	0.060
2.081e5	0.059
2.081e5	0.059
2.087e5	0.059
2.092e5	0.059
2.092e5	0.059
2.098e5	0.059
2.105e5	0.059
2.118e5	0.058
2.122e5	0.058
2.135e5	0.058
2.135e5	0.058
2.149e5	0.057
2.155e5	0.057
2.155e5	0.057
2.155e5	0.057
2.169e5	0.056
2.175e5	0.056
2.175e5	0.056
2.182e5	0.056
2.189e5	0.056
2.189e5	0.056
2.189e5	0.056
2.195e5	0.055
2.202e5	0.055
2.209e5	0.055
2.209e5	0.055
2.216e5	0.055
2.227e5	0.055
2.232e5	0.054
2.232e5	0.054
2.239e5	0.054
2.251e5	0.054
2.255e5	0.054
2.267e5	0.054
2.274e5	0.053
2.281e5	0.053
2.289e5	0.053
2.303e5	0.052
2.303e5	0.052
2.303e5	0.052
2.310e5	0.052
2.325e5	0.052
2.325e5	0.052
2.330e5	0.052
2.337e5	0.051
2.357e5	0.051
2.357e5	0.051
2.357e5	0.051
2.364e5	0.051
2.371e5	0.051
2.371e5	0.050
2.379e5	0.050
2.393e5	0.050
2.393e5	0.050
2.401e5	0.050
2.401e5	0.050
2.408e5	0.050
2.416e5	0.049
2.416e5	0.049
2.431e5	0.049
2.438e5	0.049
2.438e5	0.049
2.461e5	0.049
2.461e5	0.049
2.469e5	0.048
2.477e5	0.048
2.477e5	0.048
2.477e5	0.048
2.492e5	0.048
2.508e5	0.047
2.508e5	0.047
2.508e5	0.047
2.516e5	0.047
2.532e5	0.047
2.532e5	0.047
2.539e5	0.047
2.539e5	0.046
2.547e5	0.046
2.568e5	0.046
2.568e5	0.046
2.593e5	0.045
2.601e5	0.045
2.601e5	0.045
2.609e5	0.045
2.609e5	0.045
2.617e5	0.045
2.622e5	0.045
2.622e5	0.044
2.646e5	0.044
2.655e5	0.044
2.663e5	0.044
2.663e5	0.044
2.671e5	0.043
2.679e5	0.043
2.696e5	0.043
2.710e5	0.043
2.718e5	0.043
2.733e5	0.043
2.747e5	0.042
2.755e5	0.042
2.764e5	0.042
2.764e5	0.042
2.781e5	0.042
2.781e5	0.042
2.781e5	0.041
2.782e5	0.042
2.813e5	0.041
2.813e5	0.041
2.822e5	0.041
2.822e5	0.041
2.840e5	0.041
2.840e5	0.041
2.846e5	0.040
2.854e5	0.040
2.854e5	0.040
2.869e5	0.040
2.869e5	0.040
2.879e5	0.040
2.897e5	0.040
2.903e5	0.040
2.912e5	0.039
2.912e5	0.039
2.921e5	0.039
2.936e5	0.039
2.936e5	0.039
