#   POSITRON/ELECTRON+POSITRON  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
6.165000e+01 5.936000e+01 6.403000e+01 9.330000e-02 3.700000e-03 3.700000e-03 1.100000e-03 1.100000e-03 3.860052e-03 3.860052e-03
6.647000e+01 6.403000e+01 6.900000e+01 9.740000e-02 3.900000e-03 3.900000e-03 1.200000e-03 1.200000e-03 4.080441e-03 4.080441e-03
7.160000e+01 6.900000e+01 7.430000e+01 1.069000e-01 4.400000e-03 4.400000e-03 1.300000e-03 1.300000e-03 4.588028e-03 4.588028e-03
7.710000e+01 7.430000e+01 8.000000e+01 9.630000e-02 4.700000e-03 4.700000e-03 1.400000e-03 1.400000e-03 4.904080e-03 4.904080e-03
8.295000e+01 8.000000e+01 8.600000e+01 1.034000e-01 5.600000e-03 5.600000e-03 1.500000e-03 1.500000e-03 5.797413e-03 5.797413e-03
8.919000e+01 8.600000e+01 9.250000e+01 1.207000e-01 6.300000e-03 6.300000e-03 1.600000e-03 1.600000e-03 6.500000e-03 6.500000e-03
9.618000e+01 9.250000e+01 1.000000e+02 1.169000e-01 6.300000e-03 6.300000e-03 1.800000e-03 1.800000e-03 6.552099e-03 6.552099e-03
1.072800e+02 1.000000e+02 1.151000e+02 1.205000e-01 5.400000e-03 5.400000e-03 2.100000e-03 2.100000e-03 5.793962e-03 5.793962e-03
1.233100e+02 1.151000e+02 1.321000e+02 1.110000e-01 6.200000e-03 6.200000e-03 2.600000e-03 2.600000e-03 6.723095e-03 6.723095e-03
1.414700e+02 1.321000e+02 1.515000e+02 1.327000e-01 8.300000e-03 8.300000e-03 3.200000e-03 3.200000e-03 8.895504e-03 8.895504e-03
1.621300e+02 1.515000e+02 1.735000e+02 1.374000e-01 9.700000e-03 9.700000e-03 4.000000e-03 4.000000e-03 1.049238e-02 1.049238e-02
1.890500e+02 1.735000e+02 2.060000e+02 1.521000e-01 1.090000e-02 1.090000e-02 5.300000e-03 5.300000e-03 1.212023e-02 1.212023e-02
2.314300e+02 2.060000e+02 2.600000e+02 1.550000e-01 1.240000e-02 1.240000e-02 8.400000e-03 8.400000e-03 1.497732e-02 1.497732e-02
2.620000e+02 2.370000e+02 2.900000e+02 1.756168e-01 2.561523e-02 2.561523e-02 1.094761e-02 1.094761e-02 2.785660e-02 2.785660e-02
3.016600e+02 2.600000e+02 3.500000e+02 1.590000e-01 1.680000e-02 1.680000e-02 1.320000e-02 1.320000e-02 2.136539e-02 2.136539e-02
4.183300e+02 3.500000e+02 5.000000e+02 1.471000e-01 2.780000e-02 2.780000e-02 1.940000e-02 1.940000e-02 3.389985e-02 3.389985e-02
